word	frq	zipf	num_letters	
fronteras	6.921572	3.840205	9	
cada	487.981613	5.688403	4	
país	172.196253	5.236024	4	
sospecha	13.358936	4.125772	8	
partidos	7.751642	3.889394	8	
sean	106.270552	5.026413	4	
cuantos	34.056640	4.532202	7	
fondos	20.131355	4.303873	6	
recaudemos	0.030263	1.480912	10	
mejor	1189.920204	6.075518	5	
hacen	200.941743	5.303070	5	
falta	166.403057	5.221161	5	
grados	26.255281	4.419217	6	
temperatura	21.155972	4.325433	11	
empresa	43.745111	4.640930	7	
nuevo	585.017638	5.767169	5	
sistema	123.909536	5.093105	7	
ayudó	23.577009	4.372489	5	
comunidad	28.922745	4.461240	9	
vecinos	29.709582	4.472897	7	
ayudan	8.238011	3.915822	6	
podía	211.881804	5.326094	5	
humo	28.974624	4.462018	4	
había	654.920757	5.816189	5	
disipado	0.449621	2.652847	8	
mirado	10.896828	4.037300	6	
bien	4909.432758	6.691031	4	
botas	23.767233	4.375979	5	
antes	953.281136	5.979221	5	
viajes	18.514448	4.267511	6	
haces	431.095891	5.634574	5	
aprendes	5.555415	3.744717	8	
helado	34.947236	4.543413	6	
pedí	49.968473	4.698696	4	
ayer	128.038268	5.107340	4	
cansan	1.288338	3.110030	6	
bromas	16.705155	4.222851	6	
amigo	649.758760	5.812752	5	
después	688.590463	5.837961	7	
pelota	32.874223	4.516855	6	
desapareció	39.877937	4.600733	11	
seguro	680.283280	5.832690	6	
platos	18.983524	4.278377	6	
están	1138.637453	6.056385	5	
duele	70.499731	4.848187	5	
muñeca	27.971623	4.446718	6	
entrenamiento	31.140588	4.493327	13	
alarma	27.681963	4.442197	6	
paraba	3.849881	3.585447	6	
sonar	17.783813	4.250025	5	
llegue	66.282371	4.821398	6	
momento	674.507378	5.828987	7	
irá	67.127573	4.826901	3	
lejos	182.334345	5.260868	5	
puertas	57.268332	4.757915	7	
fábrica	30.578561	4.485417	7	
abrirán	2.036265	3.308834	7	
funciones	8.112635	3.909162	9	
semana	299.562251	5.476487	6	
recursos	20.354003	4.308650	8	
siendo	150.125907	5.176456	6	
utilizados	1.078658	3.032884	10	
tenemos	1107.470926	6.044332	7	
chiste	24.915064	4.396462	6	
preparado	62.758898	4.797675	9	
todavía	356.342052	5.551867	7	
libertad	93.592533	4.971241	8	
hasta	1027.747476	6.011886	5	
sea	828.569632	5.918329	3	
plantas	16.705155	4.222851	7	
espero	313.424849	5.496133	6	
miel	27.534972	4.439885	4	
esté	205.198013	5.312173	4	
ser	1819.528154	6.259959	3	
recogida	2.274045	3.356799	8	
tener	619.746548	5.792214	5	
buena	569.017178	5.755125	5	
opinión	79.498639	4.900360	7	
fundamental	5.613779	3.749255	11	
esperamos	36.350140	4.560506	9	
estas	555.660404	5.744809	5	
empresas	11.210266	4.049616	8	
recuperen	1.145669	3.059059	9	
frío	85.596626	4.932457	4	
sin	1107.176943	6.044217	3	
orejeras	0.415035	2.618085	8	
vigilar	11.880374	4.074830	7	
objetivo	59.793128	4.776651	8	
atentamente	6.871854	3.837074	11	
algunos	232.177443	5.365820	7	
productos	14.431110	4.159300	9	
salieron	18.756551	4.273153	8	
defectuosos	0.678755	2.831713	11	
preciosas	7.453335	3.872351	9	
piezas	20.360488	4.308788	6	
historia	310.768193	5.492437	8	
iba	302.692306	5.481001	3	
surgía	0.360994	2.557500	6	
algo	2451.835994	6.389491	4	
reformas	1.774707	3.249127	8	
cena	106.469423	5.027225	4	
plata	33.578918	4.526067	5	
debe	537.548021	5.730417	4	
estar	888.062291	5.948443	5	
limpia	34.651091	4.539717	6	
podemos	627.474412	5.797596	7	
mejorar	20.580976	4.313466	7	
relación	94.163206	4.973881	8	
hablando	305.461367	5.484956	8	
muchas	339.775242	5.531192	6	
preguntas	144.440793	5.159690	9	
cabeza	383.295543	5.583534	6	
preparando	18.410689	4.265070	10	
cajas	24.958297	4.397215	5	
mudanza	4.068207	3.609403	7	
cuidar	42.136851	4.624662	6	
carácter	18.516609	4.267561	8	
día	923.379168	5.965380	3	
padre	819.270256	5.913427	5	
dice	563.829242	5.751148	4	
sótano	28.505548	4.454929	6	
es	16418.080466	7.215322	2	
peligroso	80.170909	4.904017	9	
mientras	343.324655	5.535705	8	
semanas	157.568434	5.197469	7	
acerca	160.588245	5.205714	6	
otoño	12.118155	4.083437	5	
todo	2978.874120	6.474052	4	
sentido	183.341669	5.263261	7	
estoy	2464.092493	6.391657	5	
palabra	183.058494	5.262590	7	
crucigrama	1.428844	3.154985	10	
elegido	30.327811	4.481841	7	
dónde	1289.383751	6.110382	5	
hacer	1790.916686	6.253075	5	
caza	26.646538	4.425641	4	
llegaremos	20.263215	4.306708	10	
con	7023.791333	6.846572	3	
metas	24.471928	4.388668	5	
proyecto	49.283233	4.692699	8	
amigos	392.400371	5.593729	6	
ven	503.156326	5.701703	3	
otros	277.171982	5.442749	5	
actos	15.336837	4.185736	5	
cariño	352.911529	5.547666	6	
persona	282.749014	5.451401	7	
buscando	184.617037	5.266272	8	
te	7670.052560	6.884798	2	
fijas	2.792839	3.446046	5	
en	15660.399660	7.194803	2	
kilos	25.784043	4.411351	5	
verás	83.871637	4.923615	5	
faltan	23.648343	4.373801	6	
llegamos	55.951893	4.747815	8	
primo	41.127365	4.614131	5	
saludó	0.938152	2.972273	6	
trozo	18.036725	4.256158	5	
queda	196.305025	5.292931	5	
sorprenderá	2.096791	3.321555	11	
revisar	26.607628	4.425006	7	
ruedas	21.849858	4.339449	6	
carrera	94.174014	4.973931	7	
sorprendentemente	3.179773	3.502396	17	
hermanos	72.564098	4.860722	8	
llevan	48.479103	4.685555	6	
alejarnos	4.029297	3.605229	9	
realidad	237.702595	5.376034	8	
fantasía	16.811075	4.225595	8	
estamos	869.645117	5.939342	7	
sopa	30.258639	4.480849	4	
invitados	31.789080	4.502278	9	
durara	1.232135	3.090658	6	
tanto	465.035803	5.667486	5	
nadie	846.141604	5.927443	5	
enlaces	1.191064	3.075935	7	
año	295.267072	5.470215	3	
confíes	5.170643	3.713545	7	
lujo	16.558163	4.219012	4	
lo	14129.962772	7.150141	2	
gustan	114.925759	5.060417	6	
animales	65.050236	4.813249	8	
muchísimo	34.434927	4.536999	9	
preparar	23.665636	4.374118	8	
citas	18.084281	4.257301	5	
acciones	36.280968	4.559679	8	
buenas	389.039021	5.589993	6	
saldrá	39.326719	4.594688	6	
movimiento	54.082074	4.733053	10	
hombro	22.124387	4.344871	6	
circular	4.187097	3.621913	8	
ambiente	23.883962	4.378106	8	
estará	181.608034	5.259135	6	
fresco	24.943165	4.396952	6	
miraba	15.591910	4.192899	6	
cómo	2031.090036	6.307729	4	
familia	389.618340	5.590639	7	
paseaba	1.415874	3.151025	7	
confiamos	4.217360	3.625041	9	
fuerzas	55.076429	4.740966	7	
estado	624.752907	5.795708	6	
competentes	0.719826	2.857228	11	
por	10319.695918	7.013667	3	
rápido	334.833733	5.524829	6	
subasta	6.817813	3.833645	7	
mayoría	77.308898	4.888229	7	
vendió	13.179520	4.119900	6	
rápidamente	31.209760	4.494290	11	
no	29783.025826	7.473969	2	
y	16517.874744	7.217954	1	
caiga	12.881214	4.109957	5	
pizarra	4.290856	3.632544	7	
oyen	10.888181	4.036955	4	
trata	197.232369	5.294978	5	
al	7673.217201	6.884977	2	
políticos	16.099896	4.206823	9	
encanta	115.003578	5.060711	7	
si	5720.201283	6.757411	2	
pueblo	179.545829	5.254175	6	
fue	1734.841579	6.239260	3	
desconocen	0.449621	2.652847	10	
jugadores	15.356291	4.186286	9	
corruptos	3.800163	3.579802	9	
he	1851.302103	6.267477	2	
ruta	28.922745	4.461240	4	
tus	662.313566	5.821064	3	
ricos	29.748491	4.473465	5	
nave	130.882987	5.116883	4	
tarde	454.037378	5.657092	5	
calor	63.787839	4.804738	5	
secándose	0.458268	2.661120	9	
lista	199.188653	5.299265	5	
oídos	19.446115	4.288833	5	
mis	922.160003	5.964806	3	
arte	62.895081	4.798617	4	
una	8936.704503	6.951177	3	
nos	2164.225451	6.335302	3	
veas	26.449829	4.422423	4	
motor	33.246025	4.521740	5	
irás	41.875293	4.621958	4	
ciudad	305.461367	5.484956	6	
ir	926.100673	5.966658	2	
acuerdo	762.084066	5.882003	7	
piedras	24.554070	4.390123	7	
pozo	18.421497	4.265325	4	
jugando	64.648171	4.810556	7	
parque	43.634868	4.639834	6	
mujer	588.294685	5.769595	5	
llamó	88.501870	4.946952	5	
taxi	58.852814	4.769767	4	
cristal	24.424372	4.387823	7	
limpiarlo	6.807005	3.832956	9	
hora	469.352598	5.671499	4	
almuerzo	38.008118	4.579876	8	
noche	900.872171	5.954663	5	
sistemas	24.677284	4.392297	8	
funcionan	18.445275	4.265885	9	
adecuadamente	3.257592	3.512897	13	
hablarlo	12.448886	4.095130	8	
pasos	28.604984	4.456442	5	
acercan	8.017523	3.904040	7	
enfermo	76.545839	4.883922	7	
rumores	22.593463	4.353983	7	
silenciosos	1.387773	3.142318	11	
pantalla	25.243633	4.402152	8	
luz	186.837041	5.271463	3	
fluyan	0.300468	2.477798	6	
islas	10.570420	4.024092	5	
solo	1008.253806	6.003570	4	
tiene	1939.421363	6.287672	5	
volcanes	1.515310	3.180501	8	
libros	73.007234	4.863366	6	
extrañaba	3.274885	3.515196	9	
universo	41.933657	4.622563	8	
parece	851.102568	5.929982	6	
basto	0.564188	2.751424	5	
asombroso	24.143359	4.382798	9	
intereses	20.660956	4.315150	9	
serán	72.804040	4.862155	5	
buenos	289.888911	5.462232	6	
serie	41.734786	4.620498	5	
números	40.716653	4.609772	7	
colores	20.354003	4.308650	7	
cuadro	20.682573	4.315605	6	
tipo	622.364295	5.794045	4	
ropa	143.630178	5.157246	4	
reglas	71.736189	4.855738	6	
difícil	227.043548	5.356109	7	
fértil	2.064366	3.314787	6	
reacciona	3.953640	3.596997	9	
deprisa	46.334756	4.665907	7	
imágenes	25.987238	4.414760	8	
cámara	94.310197	4.974559	6	
pastillas	20.557198	4.312964	9	
abuelo	80.296284	4.904695	6	
impuestos	26.168815	4.417784	9	
tarjetas	18.194525	4.259941	8	
puedo	1903.566238	6.279568	5	
elegir	38.887906	4.589815	6	
empleados	20.900898	4.320165	9	
equipos	25.451151	4.405707	7	
saldrán	6.528153	3.814790	7	
adelante	280.174500	5.447429	8	
gente	861.984265	5.935499	5	
adecuada	12.191650	4.086062	8	
líneas	26.237988	4.418931	6	
estaban	162.613702	5.211157	7	
claras	7.371193	3.867538	6	
corazones	22.569685	4.353525	9	
solos	53.275783	4.726530	5	
tribunal	35.861610	4.554630	8	
estaba	1334.776032	6.125408	6	
aburrido	31.717746	4.501302	8	
modo	140.495800	5.147663	4	
hablar	749.864314	5.874983	6	
mundo	698.352430	5.844075	5	
verdad	1351.617370	6.130854	6	
sale	97.381888	4.988478	4	
criaturas	21.084638	4.323966	9	
raras	13.261662	4.122598	5	
informes	20.957101	4.321331	8	
tengan	50.841776	4.706221	6	
errores	34.378725	4.536290	7	
recorramos	0.105920	2.024978	10	
comprometidos	5.004197	3.699334	13	
experto	25.135551	4.400288	7	
efectos	20.362650	4.308834	7	
notaron	1.333732	3.125069	7	
zonas	8.490922	3.928955	5	
iremos	81.684057	4.912137	6	
puedes	1093.517539	6.038826	6	
ganar	111.123434	5.045806	5	
nombre	537.692851	5.730534	6	
calles	45.098298	4.654160	6	
laberinto	5.479758	3.738761	9	
sucia	19.854665	4.297863	5	
punto	231.736468	5.364994	5	
llegar	247.862304	5.394210	6	
manera	282.102683	5.450407	6	
hablas	131.345578	5.118415	6	
daba	29.123777	4.464248	4	
vueltas	29.240506	4.465985	7	
vida	1101.318898	6.041913	4	
mejorará	2.665302	3.425746	8	
tiendas	14.835336	4.171297	7	
centro	104.046224	5.017226	6	
cerrarán	1.355348	3.132051	8	
ocasiones	12.347288	4.091572	9	
actuar	43.602443	4.639511	6	
abogados	26.769751	4.427644	8	
preocupados	12.031689	4.080327	11	
tiempo	1287.689025	6.109811	6	
plan	161.277808	5.207575	4	
molestia	15.901025	4.201425	8	
ocuparme	17.027239	4.231144	8	
recados	2.961447	3.471504	7	
frías	5.371676	3.730110	5	
vienen	93.897324	4.972653	6	
habilitada	0.129698	2.112933	10	
calidad	19.662279	4.293634	7	
vender	50.941211	4.707069	6	
esperemos	22.102770	4.344447	9	
ventanas	24.130389	4.382564	8	
aíslen	0.201033	2.303267	6	
meses	218.481291	5.339414	5	
invierno	29.646894	4.471979	8	
fantasma	41.553208	4.618605	8	
teléfonos	16.065309	4.205889	9	
campestres	0.166446	2.221273	10	
criatura	30.554783	4.485079	8	
apareció	29.324810	4.467235	8	
fascinó	0.460429	2.663163	7	
galletas	21.426177	4.330945	8	
preparó	4.880983	3.688507	7	
tortilla	3.793678	3.579060	8	
creo	1510.305534	6.179065	4	
escalera	25.775397	4.411205	8	
vieja	84.096448	4.924778	5	
reuniones	14.917479	4.173695	9	
delante	84.232631	4.925480	7	
congreso	15.872923	4.200657	8	
lenguaje	19.837371	4.297484	8	
utilizamos	2.302147	3.362133	10	
sostiene	5.114441	3.708798	8	
llegan	27.230181	4.435051	6	
