"","Trial_Nr","Trial_Id","Task_Name","Exp_Subject_Id","timestamp","list","Frequency","x","y","time","conf","time_diff"
"55504",20,53,"sentence",956295,1721915044428,"B","high",344.799184799194,383.65483880043,210.5,1,31.89990234375
"55505",20,53,"sentence",956295,1721915044464,"B","high",376.249194145203,374.417132139206,242.900146484375,1,32.400146484375
"55506",20,53,"sentence",956295,1721915044498,"B","high",378.198885917664,381.566396355629,274.5,1,31.599853515625
"55507",20,53,"sentence",956295,1721915044528,"B","high",374.872732162476,386.767333745956,306.5,1,32
"55508",20,53,"sentence",956295,1721915044565,"B","high",448.430180549622,371.581724286079,338.900146484375,1,32.400146484375
"55509",20,53,"sentence",956295,1721915044600,"B","high",446.351301670074,366.248911619186,370.5,1,31.599853515625
"55510",20,53,"sentence",956295,1721915044637,"B","high",462.953591346741,370.203068852425,402.5,1,32
"55511",20,53,"sentence",956295,1721915044671,"B","high",472.448289394379,355.490839481354,434.60009765625,1,32.10009765625
"55512",20,53,"sentence",956295,1721915044710,"B","high",530.363059043884,385.862475633621,482.400146484375,1,47.800048828125
"55513",20,53,"sentence",956295,1721915044744,"B","high",575.546872615814,354.607141017914,514.900146484375,1,32.5
"55514",20,53,"sentence",956295,1721915044770,"B","high",556.841778755188,373.929238319397,546.400146484375,1,31.5
"55515",20,53,"sentence",956295,1721915044804,"B","high",565.680253505707,362.788251042366,578.800048828125,1,32.39990234375
"55516",20,53,"sentence",956295,1721915044837,"B","high",663.39647769928,328.169336915016,610.5,1,31.699951171875
"55517",20,53,"sentence",956295,1721915044869,"B","high",680.079221725464,387.676215171814,642.60009765625,1,32.10009765625
"55518",20,53,"sentence",956295,1721915044907,"B","high",682.198619842529,366.428217291832,674.5,1,31.89990234375
"55519",20,53,"sentence",956295,1721915044935,"B","high",680.721783638,298.472425341606,706.5,1,32
"55520",20,53,"sentence",956295,1721915044970,"B","high",677.922558784485,355.771279335022,738.5,1,32
"55521",20,53,"sentence",956295,1721915044995,"B","high",698.560428619385,348.887613415718,770.400146484375,1,31.900146484375
"55522",20,53,"sentence",956295,1721915045026,"B","high",650.386643409729,319.584733247757,802.5,1,32.099853515625
"55523",20,53,"sentence",956295,1721915045069,"B","high",392.656874656677,424.380964040756,834.400146484375,1,31.900146484375
"55524",20,53,"sentence",956295,1721915045097,"B","high",388.918232917786,362.580811977386,866.7001953125,1,32.300048828125
