"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","corpus","freq","zipf","word_length"
"93",953681,16,"high",5,"island","Yes",128.09985351562,128.09985351562,128.09985351562,128.09985351562,"Frequency corpus",18560,4.96,6
"94",953681,17,"high",7,"outside","No",96.099853515625,96.099853515625,96.099853515625,96.099853515625,"Frequency corpus",42170,5.32,7
"95",953681,37,"low",6,"prudent","Yes",NA,NA,NA,288.10009765625,"Frequency corpus",252,3.1,7
"96",953681,37,"low",7,"use","No",256,256,256,256,"Frequency corpus",74133,5.57,3
"97",953681,25,"high",2,"company","No",NA,NA,NA,160,"Frequency corpus",33993,5.23,7
"98",953681,25,"high",3,"developed","No",NA,NA,NA,96.10009765625,"Frequency corpus",6481,4.51,9
"99",953681,25,"high",6,"type","No",303.90014648438,303.90014648438,303.90014648438,303.90014648438,"Frequency corpus",17089,4.93,4
"100",953681,25,"high",7,"of","No",NA,NA,NA,160.09985351562,"Frequency corpus",3779783,7.27,2
"101",953681,25,"high",9,"oil","Yes",NA,NA,NA,112,"Frequency corpus",19139,4.98,3
"102",953681,25,"high",10,"intended","No",NA,NA,NA,96.1999511718705,"Frequency corpus",2649,4.12,8
"103",953681,53,"low",6,"folder","Yes",NA,NA,NA,191.7998046875,"Frequency corpus",176,2.94,6
"104",953681,53,"low",9,"light","No",NA,NA,NA,287.7998046875,"Frequency corpus",38200,5.28,5
"105",953681,53,"low",10,"on","No",464,464,464,464,"Frequency corpus",1569081,6.89,2
"106",953681,53,"low",13,"investigation.","No",128,128,128,128,"Frequency corpus",9310,4.66,14
"107",953681,22,"high",6,"work","No",496.000000000005,496.000000000005,496.000000000005,496.000000000005,"Frequency corpus",195874,5.99,4
"108",953681,22,"high",10,"set","No",128,128,128,128,"Frequency corpus",75469,5.57,3
"109",953681,22,"high",13,"supervisor.","No",752,752,752,752,"Frequency corpus",517,3.41,11
"110",953681,43,"low",4,"fascinated","No",96.099853515625,NA,799.89965820313,799.89965820313,"Frequency corpus",1668,3.92,10
"111",953681,21,"high",2,"maintenance","No",96.199951171875,NA,528.2998046875,528.2998046875,"Frequency corpus",2385,4.07,11
"112",953681,21,"high",5,"water","Yes",192,192,192,192,"Frequency corpus",68324,5.53,5
"113",953681,21,"high",9,"necessary","No",144.09985351562,144.09985351562,144.09985351562,144.09985351562,"Frequency corpus",7193,4.55,9
"114",953681,39,"low",2,"saw","No",527.89990234375,527.89990234375,527.89990234375,527.89990234375,"Frequency corpus",50895,5.4,3
"115",953681,39,"low",6,"nerdy","Yes",143.7998046875,143.7998046875,143.7998046875,143.7998046875,"Frequency corpus",132,2.82,5
"116",953681,39,"low",7,"girl","No",95.90014648438,95.90014648438,95.90014648438,95.90014648438,"Frequency corpus",39601,5.29,4
"117",953681,18,"high",2,"sold","No",336,336,336,336,"Frequency corpus",20274,5,4
"118",953681,18,"high",5,"house","Yes",144.10009765625,144.10009765625,144.10009765625,144.10009765625,"Frequency corpus",135288,5.83,5
"119",953681,18,"high",9,"shades","No",95.89990234375,95.89990234375,95.89990234375,95.89990234375,"Frequency corpus",1142,3.75,6
"120",953681,49,"low",2,"long","No",431.900146484375,431.900146484375,431.900146484375,431.900146484375,"Frequency corpus",128115,5.8,4
"121",953681,49,"low",5,"brawl","Yes",431.80004882813,431.80004882813,431.80004882813,431.80004882813,"Frequency corpus",209,3.02,5
"122",953681,49,"low",9,"bar,","No",335.7998046875,335.7998046875,335.7998046875,335.7998046875,"Frequency corpus",11216,4.75,4
"123",953681,41,"low",1,"David's","No",559.7998046875,559.7998046875,559.7998046875,559.7998046875,"Frequency corpus",112,2.75,7
"124",953681,41,"low",2,"friends","No",384,384,384,384,"Frequency corpus",42631,5.33,7
"125",953681,41,"low",4,"tired","No",NA,NA,NA,143.90014648438,"Frequency corpus",8859,4.64,5
"126",953681,41,"low",5,"of","No",192.10009765625,192.10009765625,192.10009765625,192.10009765625,"Frequency corpus",3779783,7.27,2
"127",953681,58,"low",2,"bought","No",383.900146484375,NA,815.90014648438,815.90014648438,"Frequency corpus",27957,5.14,6
"128",953681,58,"low",5,"the","No",400.10009765625,400.10009765625,400.10009765625,400.10009765625,"Frequency corpus",9418422,7.67,3
"129",953681,28,"high",2,"military","No",320,320,320,320,"Frequency corpus",13261,4.82,8
"130",953681,46,"low",2,"night,","No",192.199951171875,NA,480.2998046875,480.2998046875,"Frequency corpus",90177,5.65,6
"131",953681,35,"low",2,"children","No",463.699951171875,NA,639.699951171875,639.699951171875,"Frequency corpus",68015,5.53,8
"132",953681,35,"low",7,"smile","No",336,336,336,336,"Frequency corpus",10393,4.71,5
"133",953681,8,"high",1,"Linda","No",272.099853515625,272.099853515625,272.099853515625,272.099853515625,"Frequency corpus",4621,4.36,5
"134",953681,8,"high",4,"short","Yes",95.900146484375,95.900146484375,95.900146484375,207.900146484375,"Frequency corpus",26871,5.13,5
