"","Always_Fullscreen","Browser_Spec","BrowserVersion_Spec","Crowdsourcing_SubjId","End_Time","End_Time_Local","Exp_Subject_Id","FaceDetectionRate","Is_Fullscreen","Rec_Session_Id","Screen_Height_In_Pixels","Screen_Refresh_Rate","Screen_Width_In_Pixels","Start_Time","Start_Time_Local","System_Spec","TimeMeasure_Mean","TimeMeasure_Std","Window_Height_In_Pixels","Window_Width_In_Pixels","list"
"50",TRUE,"Chrome","133.0.0.0 Safari/537.36","67190ba17c7a2b90c089d0d6",NA,NA,1073951,13.2222662764357,TRUE,1252335,768,59.8802395209587,1366,2025-03-04 14:41:43.399,2025-03-04 14:41:34,"Windows-PC",NA,NA,768,1366,"B"
"51",TRUE,"Microsoft Edge","33.0.0.0","637e1c5a4cf3a6a0f0acd67c",NA,NA,1073957,7.88084167033694,TRUE,1252342,720,59.8802395209587,1280,2025-03-04 14:46:53.736,2025-03-04 14:46:46,"Windows-PC",NA,NA,720,1280,"D"
"52",TRUE,"Chrome","133.0.0.0 Safari/537.36","55057a56fdf99b5b566a70bb",NA,NA,1073959,20.3956761186468,TRUE,1252344,864,59.8802395209587,1536,2025-03-04 14:47:47.906,2025-03-04 14:47:29,"Windows-PC",NA,NA,864,1536,"B"
"53",TRUE,"Chrome","133.0.0.0 Safari/537.36","5ef647ec3ce68a1178780f5a",NA,NA,1073961,10.3885310616114,TRUE,1252346,864,60.240963855422,1536,2025-03-04 14:50:12.512,2025-03-04 14:49:08,"Windows-PC",NA,NA,864,1536,"D"
"54",TRUE,"Chrome","125.0.0.0 Safari/537.36","627e79a6e1f2b10601861ca6",NA,NA,1073965,9.3014603292588,TRUE,1252351,751,119.047619047618,360,2025-03-04 14:56:02.697,2025-03-04 14:55:45,"Linux-PC",NA,NA,751,360,"D"
"55",TRUE,"Chrome","133.0.0.0 Safari/537.36","6773d733ef23107f61c70de7",NA,NA,1073966,8.31600831600832,TRUE,1252352,768,59.8802395209587,1366,2025-03-04 14:56:44.235,2025-03-04 14:55:15,"Windows-PC",NA,NA,768,1366,"C"
"56",TRUE,"Microsoft Edge","33.0.0.0","673668ed589b5e41b4ab776f",NA,NA,1073968,6.31791761435505,TRUE,1252354,768,59.8802395209587,1366,2025-03-04 14:58:40.417,2025-03-04 14:58:29,"Windows-PC",NA,NA,768,1366,"B"
"57",TRUE,"Chrome","133.0.0.0 Safari/537.36","66cdc82a149ba9c066f670fb",NA,NA,1073973,26.6240681576161,TRUE,1252361,1080,144.927536231873,1920,2025-03-04 15:07:39.741,2025-03-04 15:05:45,"Windows-PC",NA,NA,1080,1920,"D"
"58",TRUE,"Chrome","133.0.0.0 Safari/537.36","666ed73e4b49ad92368677b3",NA,NA,1073975,15.8478605388273,TRUE,1252363,900,59.8802395209587,1440,2025-03-04 15:12:38.839,2025-03-04 15:12:24,"Mac/OS-X",NA,NA,900,1440,"C"
"59",TRUE,"Chrome","133.0.0.0 Safari/537.36","67a3d7bf5f662a67f52d781c",NA,NA,1073976,20.5507603821617,TRUE,1252364,864,59.8802395209587,1536,2025-03-04 15:14:38.022,2025-03-04 15:14:30,"Windows-PC",NA,NA,864,1536,"D"
"60",TRUE,"Chrome","133.0.0.0 Safari/537.36","66d1a3beb6b1c3ca21b3229c",NA,NA,1073977,18.2016745548489,TRUE,1252365,900,50.50505050505,1440,2025-03-04 15:15:48.22,2025-03-04 15:15:39,"Mac/OS-X",NA,NA,900,1440,"B"
"61",TRUE,"Chrome","133.0.0.0 Safari/537.36","6658b857a8fca6ea85c986e8",NA,NA,1073983,18.4569952028056,TRUE,1252371,1003,59.8802395209587,1504,2025-03-04 15:28:43.662,2025-03-04 15:28:37,"Windows-PC",NA,NA,1003,1504,"D"
"62",TRUE,"Chrome","126.0.0.0 Safari/537.36","66b1eb08a154c8f8beec5846",NA,NA,1073985,18.8005264147264,TRUE,1252373,861,59.8802395209587,1531,2025-03-04 15:30:42.466,2025-03-04 15:30:34,"Windows-PC",NA,NA,965,1715,"B"
"63",TRUE,"Microsoft Edge","33.0.0.0","62d71ed72df2d1ebb84c4406",NA,NA,1074004,14.3430866312623,TRUE,1252392,720,59.8802395209587,1280,2025-03-04 15:42:11.009,2025-03-04 15:41:52,"Windows-PC",NA,NA,720,1280,"C"
"64",TRUE,"Chrome","133.0.0.0 Safari/537.36","677679aa227c3dfaabb0008d",NA,NA,1074032,12.613521696016,TRUE,1252421,720,59.8802395209587,1280,2025-03-04 16:02:23.24,2025-03-04 16:02:11,"Windows-PC",NA,NA,720,1280,"C"
"65",TRUE,"Chrome","133.0.0.0 Safari/537.36","674378642996c4f272e5ebc3",NA,NA,1076880,35.5113636408735,TRUE,1255960,1080,59.8802395209587,1920,2025-03-07 20:28:39.868,2025-03-07 20:28:29,"Windows-PC",NA,NA,1080,1920,"A"
"66",TRUE,"Chrome","133.0.0.0 Safari/537.36","6672978729efb3d42e64313f",NA,NA,1077187,33.3000332987114,TRUE,1256296,900,59.8802395209587,1440,2025-03-08 11:11:00.984,2025-03-08 11:10:55,"Mac/OS-X",NA,NA,900,1440,"C"
