"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","sub"
"47",6,509.60009765625,1456.69995117188,1133.09728622437,947.655065059662,43.0583702316301,12.9978806169028,-69.5903348922734,11.6002857685089,947.09985351563,11
"48",6,1697.40014648438,2670.80004882813,1450.35424232483,882.908513545991,148.111793163293,9.03611017656427,76.251578330995,11.1547386646268,973.39990234375,11
"49",3,29.800048828125,608.400146484375,1125.94079017639,944.76959824562,52.1928572559363,11.7345647349354,-74.484081268311,10.7538878917691,578.60009765625,11
"50",3,655.60009765625,1296.90014648438,1388.2255935669,886.942384243011,101.293773771283,10.3266103906625,-56.0111379623416,6.59656047821051,641.30004882813,11
"51",3,1374.80004882813,2095.69995117188,1131.5353012085,943.562936782837,15.8597716712945,5.02011423110911,25.118198394775,-7.05190300941467,720.89990234375,11
"53",36,14,289,1383.93804550171,864.625589847564,54.6604614973072,4.33392060685208,-43.6215305328383,13.2964396476747,275,11
"54",36,336.199951171875,1171.60009765625,1295.55389404297,898.601474761963,186.452570960997,21.0992569763671,-66.6544818878167,6.82264924049423,835.400146484375,11
"55",36,1405,1553.40014648438,1131.22769355774,921.846077442169,28.4842596416497,4.97193322348645,-57.0354843139656,-7.23103165626515,148.40014648438,11
"56",10,25.5,2712.80004882813,1175.76205253601,924.518362283707,146.676299240115,31.0106899223334,73.1848716735833,12.7741920948029,2687.30004882813,11
"57",10,2759.5,3063.80004882813,1204.51049804687,912.867050170898,26.0289211349467,5.67905989694663,-61.7043972015384,7.18384623527533,304.30004882813,11
"58",10,3094.60009765625,3383.5,1486.96719169617,880.548491477966,21.8890766172423,4.37309849452947,71.8700456619267,8.43383073806757,288.89990234375,11
"59",10,3430.5,3595.10009765625,1069.92781639099,940.634865760803,34.2241851539617,1.42274745655035,43.770847320555,-9.85294461250317,164.60009765625,11
"60",1,52.400146484375,256.800048828125,1393.09900283813,859.580054283142,55.3438856105815,2.53086291217737,36.7659187316883,-12.0108461380005,204.39990234375,11
"61",1,287.800048828125,1488,1297.61509895325,903.452764749527,147.903056516645,23.6780622975826,-61.74686908722,10.6543135642999,1200.19995117188,11
"62",1,1518.60009765625,1745.40014648438,1215.38242340088,911.518864631652,25.5415720367422,3.49779163169844,33.5350894927984,-6.74473643302861,226.80004882813,11
"63",21,0.5,594.699951171875,1194.63898658752,919.385730028152,36.7727291050023,11.9148021061419,43.47957611084,11.9706773757936,594.199951171875,11
"64",21,610.5,1889.69995117188,1339.21175003052,889.874607324601,107.879087651254,9.99965079617483,-58.1283473968517,11.372437477112,1279.19995117188,11
"67",21,2062.30004882813,2337.30004882813,1267.19316482544,907.230398654939,50.7126835384372,18.1489059383874,49.8149490356451,11.8443882465363,275,11
"69",35,58.60009765625,206.900146484375,1468.56934547424,859.973888397217,18.3556896114349,1.64874803638408,34.776968955995,-4.01844263076765,148.300048828125,11
"70",35,269.800048828125,1152.19995117188,1406.55497550964,887.139430046081,208.225359930035,16.4832810287477,79.9684429168683,7.98326253890963,882.399902343755,11
"71",35,1183.90014648438,1419.30004882813,1233.3157491684,910.555028915405,30.527518950462,4.37367113113386,-35.1608133316033,10.9540557861326,235.39990234375,11
"72",11,0.800048828125,203.900146484375,1340.87514877319,866.773309707641,39.5569589710236,2.32417291116714,41.495885849,11.397296190262,203.10009765625,11
"73",11,273.60009765625,1070.90014648438,1188.73729705811,916.077182292938,67.7870103778814,19.1879232437612,59.3211793899533,-10.9419429302216,797.30004882813,11
"74",11,1116.90014648438,1905.60009765625,1451.5136384964,880.665693283081,95.9053835077329,5.9167040877333,-72.8197002410884,-11.7783737182618,788.69995117187,11
"75",11,2077.80004882813,2234.5,1266.71913146973,899.577670097351,42.6537989358894,2.57382656407331,37.0489311218232,-7.94298648834285,156.69995117187,11
"76",4,45.60009765625,922.5,1163.93882751465,940.044436454773,157.913988607405,12.8484383697501,61.829652786255,7.80973434448231,876.89990234375,11
"77",4,969.800048828125,1831.69995117188,1318.66619110107,894.970128536225,190.566448883051,17.7151178040489,-63.9417695999149,8.77939581871033,861.899902343755,11
"78",4,2041.69995117188,2361.40014648438,1223.12362670898,908.980207443238,26.2539319725023,2.4037057728764,58.4080505371098,-8.39622616767883,319.7001953125,11
