"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","sub","Freq"
"45",49,4720.30004882813,4961.5,1010.7322883606,910.533699989319,11.734186511991,7.73348915433985,31.6935157775884,-15.8405470848083,241.19995117187,11,"low"
"46",49,5007.60009765625,5470.80004882813,1133.38619232178,828.314026594162,46.4288103103656,8.78935151982333,-53.8551473617533,12.6955711841583,463.19995117188,11,"low"
"47",49,5533.30004882813,5666.10009765625,1055.9799194336,905.066971778869,20.0681841201752,5.1160944886211,18.289432525635,-12.9449522495272,132.80004882812,11,"low"
"48",49,5728.19995117188,5900.80004882813,905.385208129883,975.62209367752,10.3198730735784,16.0711417393694,-16.6298484802243,18.3485198020935,172.60009765625,11,"low"
"49",49,6017.5,6558.90014648438,1165.13984680176,798.786220550538,80.4399180908191,30.0113754215244,52.1444988250734,-16.4179837703704,541.40014648438,11,"low"
"50",27,35,324.5,1003.60347747803,851.033871173858,15.5008911209133,5.74596294021606,35.6384849548332,-12.689348459244,289.5,11,"high"
"51",27,355.900146484375,597.5,1188.00210952759,789.587166309357,25.6572587699877,4.48256752538681,-58.7070178985599,9.63304638862593,241.599853515625,11,"high"
"52",27,613.199951171875,948.10009765625,1391.39616012574,777.794137001037,65.9475460739213,2.70354466152326,-74.4880056381218,8.62759351730369,334.900146484375,11,"high"
"53",27,1253,1605.80004882813,983.926773071291,870.904319286346,27.9069995269804,6.34468632316572,-55.4451560974131,13.7226426601413,352.80004882813,11,"high"
"54",27,1621.19995117188,2002.60009765625,1201.24292373657,832.226414680482,24.6193867378296,6.31013724803756,-51.2325286865232,10.5233573913572,381.40014648437,11,"high"
"55",27,2049.60009765625,2213.30004882813,1573.35382461548,787.230191230774,9.40359794998304,6.51654093074866,-40.4034709930415,5.19845366478017,163.69995117188,11,"high"
"56",27,2291.19995117188,3256,1205.30634880066,830.404207706451,95.7031650209434,14.6719519164556,-61.4937400817867,-14.4285893440247,964.80004882812,11,"high"
"57",27,3319.10009765625,3687.90014648438,976.197910308839,945.134764909744,31.223187589648,26.400631219625,-25.1783466339102,15.763117074966,368.80004882813,11,"high"
"58",27,3703.5,4416.80004882813,1194.69539642334,875.948288440705,169.888187622067,18.0277137637147,61.7879962921166,-12.7831506729123,713.30004882813,11,"high"
"59",27,4487.60009765625,5026,955.998210906983,1023.94543647766,21.9613914299004,20.8911831035675,-29.5602512359627,18.3655035495752,538.39990234375,11,"high"
"60",27,5072.90014648438,5364.10009765625,1024.93389129638,873.367563486099,31.9208569221507,18.9314138581756,33.1435108184824,15.5479180812833,291.19995117187,11,"high"
"61",57,2.5,694.699951171875,1027.02028274536,842.401235103607,34.2852098350491,21.9132121896745,49.9523639678973,-19.9372994899748,692.199951171875,11,"low"
"62",57,757.699951171875,1367.30004882813,1302.49255180359,777.425301074982,51.0708005733503,10.0221585960392,-62.10075378418,11.5010762214665,609.600097656255,11,"low"
"63",57,1651.40014648438,2722.60009765625,986.108236312866,877.117302417755,54.2518463973987,16.3249311010838,-50.6556510925284,12.5166678428648,1071.19995117187,11,"low"
"64",57,2855.60009765625,3287.19995117188,972.87124633789,949.08590555191,12.0936043510434,12.1509351725583,-30.643548965454,17.0515000820167,431.59985351563,11,"low"
"65",57,3302.80004882813,4039.90014648438,1176.81834220886,883.80250453949,64.1790745697018,9.28480943512832,-51.4332008361819,16.1669182777403,737.10009765625,11,"low"
"66",57,4117.60009765625,4273.80004882813,985.381488800048,991.162544488905,13.4879108562461,17.8370416810491,-19.1856288909907,-18.9901793003082,156.19995117188,11,"low"
"67",57,4289.60009765625,4468,917.47428894043,1028.13730001449,29.3476118316664,12.2683893027258,40.540561676025,-17.65169799328,178.39990234375,11,"low"
"68",57,4483.80004882813,4727.40014648438,1051.23089790344,965.081055164337,14.4183534336085,10.1867598066332,-45.9655666351333,18.7762892246261,243.60009765625,11,"low"
"69",57,6049.30004882813,6257.60009765625,1312.81775474548,827.829802036286,25.182578372955,4.74690294456398,-27.336864471435,18.6644089221955,208.30004882812,11,"low"
"70",57,6358.69995117188,6805.10009765625,893.442821502686,960.0373005867,36.7899930381778,12.0854000945111,-49.118566513062,11.1304485797885,446.40014648437,11,"low"
"71",57,6820.90014648438,7281.5,1149.26790237427,886.39669418335,67.684883113857,8.278193817615,-70.9356880187984,14.0938818454738,460.59985351562,11,"low"
"72",41,55,297.699951171875,1055.25554656983,834.349222183227,55.613477268216,4.11404405736974,-45.4032135009768,9.44316744804405,242.699951171875,11,"low"
"73",41,329.10009765625,665.300048828125,1298.62417221069,776.686856746673,21.7077911796577,4.26770154619335,44.4735240936283,6.76399469375542,336.199951171875,11,"low"
"74",41,712.5,1018.19995117188,1106.78247451782,818.058375120163,46.9715708370219,2.97339966130273,-71.1307573318484,-11.815913915634,305.69995117188,11,"low"
"75",41,1049.80004882813,1293.80004882813,1465.81738948822,773.795371055603,86.2272451887134,5.26583896064902,-59.4059991836566,12.0119190216066,244,11,"low"
"76",41,1357,1834.69995117188,998.193349838257,884.458465576172,18.8402815704346,5.60846652889243,-52.2891616821302,-13.1439936161045,477.69995117188,11,"low"
"77",41,1881.10009765625,2342.69995117188,1199.83222007751,834.893946647644,59.7185889015174,8.4758011658195,46.09205722809,10.7008767127992,461.59985351563,11,"low"
"78",41,2475.90014648438,4424.40014648438,1028.1050491333,915.870051383972,46.6259104156472,13.5810314655311,-49.6588134765633,-20.1258909702296,1948.5,11,"low"
"79",41,4455.80004882813,4743.69995117188,1254.00264263153,880.339032411576,96.4641000938417,7.86587955594181,-67.1998691558833,-8.65688323974604,287.89990234375,11,"low"
"80",41,4814.30004882813,5064.69995117188,938.514423370362,1015.39451122284,20.0574949035646,28.3142714052204,-27.8807163238522,14.886442422867,250.39990234375,11,"low"
