"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker"
"98",2,24,"low",5,"peces","Yes",127.59985351563,127.59985351563,127.59985351563,127.59985351563,"Webcam"
"99",2,53,"high",4,"derecho","Yes",735.69995117187,735.69995117187,735.69995117187,735.69995117187,"Webcam"
"100",2,63,"high",7,"minutos","Yes",320.19995117188,320.19995117188,320.19995117188,431.30004882813,"Webcam"
"101",2,78,"high",8,"sociedad","Yes",159.69995117187,159.69995117187,159.69995117187,159.69995117187,"Webcam"
"102",2,96,"high",4,"canciones","Yes",192,192,192,192,"Webcam"
"103",2,44,"low",5,"gastos","Yes",272.19995117188,272.19995117188,272.19995117188,864.80004882812,"Webcam"
"104",2,74,"high",3,"artículo","Yes",160.10009765625,160.10009765625,160.10009765625,399.300048828125,"Webcam"
"105",2,94,"high",6,"políticos","Yes",240,240,240,240,"Webcam"
"106",2,18,"low",6,"frase","Yes",177.30004882812,177.30004882812,177.30004882812,177.30004882812,"Webcam"
"107",2,2,"low",5,"tono","Yes",177,177,177,272.69995117188,"Webcam"
"108",2,50,"low",4,"pistas","Yes",418.199951171875,418.199951171875,418.199951171875,418.199951171875,"Webcam"
"109",2,23,"low",5,"daños","Yes",287.30004882813,287.30004882813,287.30004882813,623.30004882813,"Webcam"
"110",2,88,"high",4,"regiones","Yes",238.199951171875,238.199951171875,238.199951171875,238.199951171875,"Webcam"
"111",2,99,"high",6,"películas","Yes",177.800048828125,177.800048828125,177.800048828125,354.100097656245,"Webcam"
"112",2,89,"high",3,"especies","Yes",178.09985351563,NA,545.39990234375,1157.90014648437,"Webcam"
"113",2,92,"high",4,"jugadores","Yes",128.5,128.5,128.5,737.30029296874,"Webcam"
"114",2,64,"high",5,"pueblos","Yes",174.59985351563,174.59985351563,174.59985351563,333.09985351563,"Webcam"
"115",2,19,"low",6,"arena","Yes",240.399902343755,240.399902343755,240.399902343755,624.099853515625,"Webcam"
"116",2,46,"low",6,"marcas","Yes",208.10009765625,NA,431.90014648437,592.50024414062,"Webcam"
"117",2,91,"high",3,"alimentos","Yes",272.2998046875,272.2998046875,272.2998046875,272.2998046875,"Webcam"
"118",2,73,"high",5,"escritor","Yes",319.90014648437,319.90014648437,319.90014648437,319.90014648437,"Webcam"
"119",2,3,"low",6,"sofá","Yes",192.199951171875,192.199951171875,192.199951171875,192.199951171875,"Webcam"
"120",2,12,"low",4,"patio","Yes",287.89990234375,287.89990234375,287.89990234375,287.89990234375,"Webcam"
