"","sub","item","Freq","word_num","wordID","target","FFD","SFD","GD","TVT","Tracker","word_length"
"2171",5,37,"high",6,"la","No",239.89990234375,239.89990234375,239.89990234375,368.30004882813,"Webcam",2
"2172",5,37,"high",9,"hablas.","No",368,368,368,368,"Webcam",7
"2173",5,39,"high",2,"mañana","No",NA,NA,NA,239.90014648438,"Webcam",6
"2174",5,39,"high",4,"cabeza","Yes",NA,NA,NA,127.89990234375,"Webcam",6
"2175",5,39,"high",6,"daba","No",NA,NA,NA,290.899902343741,"Webcam",4
"2176",5,39,"high",7,"vueltas.","No",144.09985351562,144.09985351562,144.09985351562,144.09985351562,"Webcam",8
"2177",5,6,"high",1,"Cuando","No",224.199951171875,224.199951171875,224.199951171875,224.199951171875,"Webcam",6
"2178",5,6,"high",2,"llegue","No",159.39990234375,159.39990234375,159.39990234375,159.39990234375,"Webcam",6
"2179",5,6,"high",3,"el","No",NA,NA,NA,160,"Webcam",2
"2180",5,6,"high",4,"momento","No",272.300048828125,272.300048828125,272.300048828125,272.300048828125,"Webcam",7
"2181",5,6,"high",6,"vida","Yes",320.7001953125,320.7001953125,320.7001953125,320.7001953125,"Webcam",4
"2182",5,6,"high",7,"mejorará.","No",335.80004882813,335.80004882813,335.80004882813,335.80004882813,"Webcam",9
"2183",5,70,"low",2,"tarde","No",210.699951171875,NA,482.39990234375,774.39990234375,"Webcam",5
"2184",5,70,"low",4,"tiendas","Yes",543.900146484375,543.900146484375,543.900146484375,543.900146484375,"Webcam",7
"2185",5,70,"low",6,"centro","No",335.5,335.5,335.5,910.89990234375,"Webcam",6
"2186",5,98,"low",1,"Podremos","No",208.39990234375,208.39990234375,208.39990234375,208.39990234375,"Webcam",8
"2187",5,98,"low",3,"diferentes","No",96.199951171875,96.199951171875,96.199951171875,274.399902343755,"Webcam",10
"2188",5,98,"low",4,"ocasiones","Yes",208.69995117188,208.69995117188,208.69995117188,208.69995117188,"Webcam",9
"2189",5,98,"low",5,"para","No",176.09985351562,176.09985351562,176.09985351562,448,"Webcam",4
"2190",5,98,"low",6,"actuar.","No",273.39990234375,273.39990234375,273.39990234375,273.39990234375,"Webcam",7
"2191",5,81,"low",2,"los","No",495.699951171875,495.699951171875,495.699951171875,495.699951171875,"Webcam",3
"2192",5,81,"low",5,"preocupados","No",145.699951171875,145.699951171875,145.699951171875,145.699951171875,"Webcam",11
"2193",5,81,"low",7,"el","No",303.399902343745,303.399902343745,303.399902343745,303.399902343745,"Webcam",2
"2194",5,31,"high",2,"tenemos","No",304.199951171875,304.199951171875,304.199951171875,688.30029296875,"Webcam",7
"2195",5,31,"high",3,"el","No",NA,NA,NA,351,"Webcam",2
"2196",5,31,"high",4,"tiempo","Yes",189.199951171875,189.199951171875,189.199951171875,398.19995117188,"Webcam",6
"2197",5,31,"high",5,"adecuado","No",242.5,242.5,242.5,387.39990234375,"Webcam",8
"2198",5,80,"low",2,"será","No",540.699951171875,540.699951171875,540.699951171875,540.699951171875,"Webcam",4
"2199",5,80,"low",3,"molestia","Yes",NA,NA,NA,259.000000000005,"Webcam",8
