Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,accuracy,Bnd_loc,boundary,Condition_Id,copy_of_copy_of_trial_number,copy_of_trial_number,Frequency,gaze_box,gaze_box_object,pixel_density,Preview,preview,preview,question_answer,screen_dist,trial_end,trial_number,trial_screen1_end,trial_start,undefined_name
1346722,41,16,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352872944,86,"",1748352869059,""
1346722,42,59,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352878768,87,"",1748352875477,""
1346722,43,29,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352884481,88,"",1748352880586,""
1346722,44,56,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352893096,89,"",1748352887772,""
1346722,45,40,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748352899408,90,"",1748352894761,""
1346722,46,1,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352950032,91,"",1748352947521,""
1346722,47,28,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352954848,92,"",1748352952418,""
1346722,48,27,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352960008,93,"",1748352957114,""
1346722,49,43,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748352965328,94,"",1748352962284,""
1346722,50,3,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748352971024,95,"",1748352967841,""
1346722,51,9,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748352994016,96,"",1748352991241,""
1346722,52,42,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748353000296,97,"",1748352996507,""
1346722,53,47,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748353006008,98,"",1748353002750,""
1346722,54,38,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748353011760,99,"",1748353008211,""
1346722,55,46,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748353016792,100,"",1748353013737,""
1346722,56,31,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",0,"",1748353037888,101,"",1748353034161,""
1346722,57,11,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748353045328,102,"",1748353041221,""
1346722,58,7,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",1,"",1748353051913,103,"",1748353047918,""
1346722,59,41,block_1,1,sentence,4,"","","",2,"","",low,"","","","","","",1,"",1748353059368,104,"",1748353054421,""
1346722,60,26,block_1,1,sentence,4,"","","",1,"","",high,"","","","","","",0,"",1748353065960,105,"",1748353062378,""
