Rec_Session_Id,Trial_Id,Trial_Nr,Block_Name,Block_Nr,Task_Name,Task_Nr,answer_column_number,answer_value,answer_value,answer_value,answerB_value,char1_value,char1_value,char2_value,char2_value,click_choice_frame_1,click_choice_frame_1,click_choice_frame_1,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_2,click_choice_Frame_3,click_choice_Frame_3,click_choice_Frame_3,Condition_Id,copy_of_frec_3126,copy_of_questionB_value,current_answer,frec,frec_value,has_question_column_number,has_question_value,has_question_value,index_value,index_value,index_value,key_pressed_Frame_3,key_pressed_sentence,prac_line1_value,prac_line2_value,question_column_number,question_value,question_value,question_value,questionB_value,reaction_time_frame_1,reaction_time_frame_1,reaction_time_frame_1,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_2,reaction_time_Frame_3,reaction_time_Frame_3,reaction_time_Frame_3,RT_sentence,sentence_line1_value,sentence_line2_value,sentence1_value,sentence1_value,sentence1_value,sentence1B_value,sentence2_column_nr,sentence2_value,sentence2B_value,sentenceA_line2_value,trial_end,trial_start,word_high_value,word_high_value,word_low_value,word_low_value
1361080,44,70,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2184,"","","","","","",5,"","","",1750155806044,1750155803859,"","","",""
1361080,85,71,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1759,"","","","","","",5,"","","",1750155809756,1750155807997,"","","",""
1361080,54,72,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2453,"","","","","","",5,"","","",1750155812491,1750155810038,"","","",""
1361080,51,73,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1986,"","","","","","",5,"","","",1750155814755,1750155812771,"","","",""
1361080,19,74,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2533,"","","","","","",5,"","","",1750155819145,1750155816613,"","","",""
1361080,11,75,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",0,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",3660,"","","","","","",5,"","","",1750155823074,1750155819415,"","","",""
1361080,72,76,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2150,"","","","","","",5,"","","",1750155842018,1750155839870,"","","",""
1361080,89,77,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1522,"","","","","","",5,"","","",1750155843829,1750155842308,"","","",""
1361080,38,78,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1931,"","","","","","",5,"","","",1750155847715,1750155845785,"","","",""
1361080,96,79,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2496,"","","","","","",5,"","","",1750155852036,1750155849540,"","","",""
1361080,60,80,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",1310,"","","","","","",5,"","","",1750155853648,1750155852339,"","","",""
1361080,57,81,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",0,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2416,"","","","","","",5,"","","",1750155856362,1750155853946,"","","",""
1361080,33,82,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",3583,"","","","","","",5,"","","",1750155861322,1750155857739,"","","",""
1361080,76,83,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",2,high,"",1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2800,"","","","","","",5,"","","",1750155864435,1750155861635,"","","",""
1361080,39,84,block_1,1,experimental_task_B,4,8,"","","","","","","","","","","","","","","","","",1,low,"",-1,"","",9,"","","","","","",undefined,"","",7,"","","","","","","","","","","","","",2119,"","","","","","",5,"","","",1750155868625,1750155866507,"","","",""
